Starting Log @ 2013-7-5 | 21:2:46:695
===========================================
[7-5 : 21:2:46:712712] - [Info] - Created window with params {X:0 Y:0 Width:600 Height:600}
[7-5 : 21:2:46:730730] - [Info] - [Sender: MenuState] - Entity MenuStateManager added with ID6
[7-5 : 21:2:47:875875] - [Info] - [Sender: ColorTestState] - Entity TestBedStateManager added with ID0
[7-5 : 21:2:47:876876] - [Info] - [Sender: ColorTestState] - Entity ColorTestManager added with ID5
[7-5 : 21:2:47:876876] - [Info] - [Sender: ColorTestState] - Entity TestBedManager added with ID18
[7-5 : 21:2:47:878878] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-0 added with ID22
[7-5 : 21:2:47:878878] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-1 added with ID26
[7-5 : 21:2:47:878878] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-2 added with ID30
[7-5 : 21:2:47:879879] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-3 added with ID34
[7-5 : 21:2:47:879879] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-4 added with ID38
[7-5 : 21:2:47:879879] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-5 added with ID42
[7-5 : 21:2:47:879879] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-6 added with ID46
[7-5 : 21:2:47:880880] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-7 added with ID50
[7-5 : 21:2:47:880880] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-8 added with ID54
[7-5 : 21:2:47:880880] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-9 added with ID58
[7-5 : 21:2:47:880880] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-10 added with ID62
[7-5 : 21:2:47:880880] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-11 added with ID66
[7-5 : 21:2:47:881881] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-12 added with ID70
[7-5 : 21:2:47:881881] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-13 added with ID74
[7-5 : 21:2:47:881881] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-14 added with ID78
[7-5 : 21:2:47:881881] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-15 added with ID82
[7-5 : 21:2:47:881881] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-16 added with ID86
[7-5 : 21:2:47:881881] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-17 added with ID90
[7-5 : 21:2:47:882882] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-18 added with ID94
[7-5 : 21:2:47:882882] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-19 added with ID98
[7-5 : 21:2:47:882882] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity0-20 added with ID102
[7-5 : 21:2:47:882882] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-0 added with ID106
[7-5 : 21:2:47:882882] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-1 added with ID110
[7-5 : 21:2:47:883883] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-2 added with ID114
[7-5 : 21:2:47:883883] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-3 added with ID118
[7-5 : 21:2:47:883883] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-4 added with ID122
[7-5 : 21:2:47:883883] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-5 added with ID126
[7-5 : 21:2:47:883883] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-6 added with ID130
[7-5 : 21:2:47:884884] - [Info] - [Sender: ColorTestState] - Entity ColorTestEntity1-7 added with ID134
